,Country,Codes,Year,Salary,Job Satisfaction,Combined
30,Czech Republic,Unknown code,2017,11746.28034,7.133333333333334,4.587621109372549
31,Czech Republic,Unknown code,2018,30036.0,6.174418604651163,4.633210943912449
32,Czech Republic,Unknown code,2019,32076.0,6.122641509433962,4.6707538290788015
33,Czech Republic,Unknown code,2020,36372.0,5.886363636363637,4.674966844919786
34,Denmark,DNK,2017,65591.39785000001,7.708333333333333,6.720693653823529
35,Denmark,DNK,2018,78900.0,6.705882352941177,6.574636678200692
36,Denmark,DNK,2019,81024.0,6.2578125,6.381866176470588
37,Denmark,DNK,2020,78660.0,6.258064516129032,6.303214421252372
38,Estonia,EST,2017,23655.91398,6.888888888888889,4.840818047699347
39,Estonia,EST,2018,33780.0,6.111111111111111,4.720771241830065
40,Estonia,EST,2019,28650.0,6.380952380952381,4.708501400560224
41,Estonia,EST,2020,41508.0,6.571428571428571,5.249146218487395
42,Finland,FIN,2017,43548.3871,7.6,5.922201138627451
43,Finland,FIN,2018,58752.0,6.610169491525424,5.846734995014955
44,Finland,FIN,2019,59579.0,6.0886075949367084,5.567500546041201
45,Finland,FIN,2020,54480.0,6.551020408163265,5.669541416566627
46,France,FRA,2017,40860.21505,6.896551724137931,5.418802300179175
47,France,FRA,2018,48955.0,6.709558823529412,5.5786326412918115
48,France,FRA,2019,45830.0,5.9905063291139244,5.051493919086623
49,France,FRA,2020,46482.0,6.117117117117117,5.14770418653948
50,Germany,DEU,2017,50537.63441,7.04147465437788,5.826631728006596
51,Germany,DEU,2018,57276.0,6.3040201005025125,5.617447117942654
52,Germany,DEU,2019,59124.0,6.00942285041225,5.505754617889559
53,Germany,DEU,2020,59565.0,6.0169172932330826,5.52486311366652
54,Greece,GRC,2017,21505.37634,6.222222222222222,4.376976596954249
55,Greece,GRC,2018,24228.0,6.611111111111111,4.696488888888888
56,Greece,GRC,2019,21196.0,5.5054945054945055,3.945059513035984
57,Greece,GRC,2020,21084.0,5.517241379310345,3.9482361054766733
58,Hungary,HUN,2017,14000.0,8.0,5.1725490196078425
59,Hungary,HUN,2018,27097.5,5.979166666666667,4.420406862745098
60,Hungary,HUN,2019,25980.0,6.044776119402985,4.4217506584723445
61,Hungary,HUN,2020,30792.0,5.787234042553192,4.430655319148936
62,Iceland,ISL,2018,61350.0,7.0,6.162647058823529
63,Iceland,ISL,2019,70152.0,6.0,5.867811764705882
64,Iceland,ISL,2020,61140.0,5.2,5.096823529411765
65,Ireland,IRL,2017,48387.09677,7.857142857142857,6.234751965162464
66,Ireland,IRL,2018,64254.0,6.225806451612903,5.8040390891840605
67,Ireland,IRL,2019,66453.5,5.818181818181818,5.6375765597147955
68,Ireland,IRL,2020,64859.0,5.608695652173913,5.461199403239557
69,Italy,ITA,2017,27956.98925,6.8,4.931899641666666
70,Italy,ITA,2018,36708.0,5.681081081081081,4.56541240063593
71,Italy,ITA,2019,34368.0,5.5256410256410255,4.395977073906486
72,Italy,ITA,2020,32429.0,5.470198675496689,4.298730593429425
73,Latvia,LVA,2017,24193.548385000002,5.666666666666667,4.139784946166667
74,Latvia,LVA,2018,26364.0,6.555555555555555,4.735009150326797
75,Latvia,LVA,2019,28872.0,5.655172413793103,4.28897200811359
76,Latvia,LVA,2020,25944.0,5.647058823529412,4.186599307958478
77,Liechtenstein,LIE,2017,140000.0,5.0,7.607843137254902
78,Lithuania,LTU,2017,11182.795699999999,7.4,4.7257010331372555
79,Lithuania,LTU,2018,29376.0,6.346153846153846,4.7122316742081445
80,Lithuania,LTU,2019,29562.0,5.388888888888889,4.155334640522876
81,Lithuania,LTU,2020,32424.0,6.36,4.821976470588235
82,Luxembourg,LUX,2017,48387.09677,8.0,6.318785578607843
83,Luxembourg,LUX,2018,55075.0,6.444444444444445,5.626683006535948
84,Luxembourg,LUX,2019,66453.0,5.555555555555555,5.483073856209151
85,Luxembourg,LUX,2020,76750.5,7.375,6.8965852941176475
86,Malta,MLT,2017,32258.06452,1.0,1.66350411145098
87,Malta,MLT,2018,36358.0,6.5,5.035462745098039
88,Malta,MLT,2019,45830.0,7.0,5.645313725490196
89,Malta,MLT,2020,43239.0,7.142857142857143,5.642980672268908
90,Montenegro,MNE,2017,10322.58065,6.0,3.8734977863725497
91,Montenegro,MNE,2018,36172.0,7.0,5.323380392156862
92,Montenegro,MNE,2019,20628.0,6.4,4.452305882352941
93,Montenegro,MNE,2020,23994.0,4.0,3.152741176470588
94,Netherlands,NLD,2017,47311.82796,7.255813953488372,5.8451867869931595
95,Netherlands,NLD,2018,50791.0,6.569444444444445,5.557412418300654
96,Netherlands,NLD,2019,57287.0,6.426116838487973,5.689635395189003
97,Netherlands,NLD,2020,59454.0,6.193548387096774,5.625063757115749
98,Norway,NOR,2017,65789.47368,7.333333333333333,6.5067079461960775
99,Norway,NOR,2018,76514.0,6.439024390243903,6.338128072692491
100,Norway,NOR,2019,78207.0,6.264367816091954,6.291822244759972
101,Norway,NOR,2020,80922.0,6.285714285714286,6.394878991596639
102,Poland,POL,2017,20148.14815,6.744186046511628,4.638773200987233
103,Poland,POL,2018,27174.0,6.151898734177215,4.524563961280715
104,Poland,POL,2019,32064.0,6.004032258064516,4.60058368121442
105,Poland,POL,2020,30372.0,5.6923076923076925,4.36081628959276
106,Portugal,PRT,2017,15053.76344,4.733333333333333,3.286105840156863
107,Portugal,PRT,2018,24598.5,5.967213114754099,4.330075361620057
108,Portugal,PRT,2019,23376.0,5.690140845070423,4.1263416735708365
109,Portugal,PRT,2020,28536.0,5.116279069767442,3.9607759233926125
110,Romania,ROU,2017,20000.0,7.714285714285714,5.204481792717087
111,Romania,ROU,2018,29373.0,5.745098039215686,4.358569434832757
112,Romania,ROU,2019,34536.0,6.05,4.710023529411765
113,Romania,ROU,2020,27144.0,5.796610169491525,4.314570687936191
114,Russian Federation,RUS,2017,21523.80952,6.32258064516129,4.436625402722328
115,Russian Federation,RUS,2018,20172.0,6.0,4.201811764705883
116,Russian Federation,RUS,2019,22456.5,5.645833333333333,4.069628431372549
117,Russian Federation,RUS,2020,26160.0,5.594405594405594,4.1628268202385845
118,Serbia,SRB,2017,15000.0,7.0,4.617647058823529
119,Serbia,SRB,2018,29376.0,6.2592592592592595,4.6611172113289765
120,Serbia,SRB,2019,23220.0,5.7560975609756095,4.1599397417503585
121,Serbia,SRB,2020,38544.0,5.689655172413793,4.631655983772819
122,Slovakia,SVK,2018,33780.0,6.0,4.655411764705883
123,Slovakia,SVK,2019,34350.0,6.090909090909091,4.727887700534759
124,Slovakia,SVK,2020,38268.0,6.05,4.834423529411765
125,Slovenia,SVN,2017,29569.89247,6.84,5.0091924940980395
126,Slovenia,SVN,2018,35980.0,6.516129032258065,5.032350411132195
127,Slovenia,SVN,2019,34368.0,5.932203389830509,4.635131405782652
128,Slovenia,SVN,2020,38916.0,5.230769230769231,4.374123076923077
129,Spain,ESP,2017,30645.16129,6.68,4.950917141039215
130,Spain,ESP,2018,36716.0,6.054187192118227,4.7851532502656235
131,Spain,ESP,2019,34372.0,5.692607003891051,4.494325688563363
132,Spain,ESP,2020,35672.0,5.751351351351351,4.572214520402755
133,Sweden,SWE,2017,51583.71041,6.666666666666667,5.641025641117647
134,Sweden,SWE,2018,56892.0,6.719745222929936,5.849191307605846
135,Sweden,SWE,2019,55680.0,6.201923076923077,5.504190045248869
136,Sweden,SWE,2020,52775.0,6.416,5.53328431372549
137,Switzerland,CHE,2017,86735.0,7.03030303030303,7.0266390374331555
138,Switzerland,CHE,2018,89672.0,6.574626865671642,6.85649423470881
139,Switzerland,CHE,2019,86983.0,5.978835978835979,6.416395673825086
140,Switzerland,CHE,2020,101649.0,6.219047619047619,7.046563305322129
141,The former Yugoslav Republic of Macedonia,Unknown code,2018,41076.0,7.5,5.780964705882353
142,The former Yugoslav Republic of Macedonia,Unknown code,2019,27342.0,6.375,4.6614
143,The former Yugoslav Republic of Macedonia,Unknown code,2020,25260.0,8.0,5.547882352941176
144,Ukraine,UKR,2017,10835.518518500001,7.5,4.77294865649902
145,Ukraine,UKR,2018,24000.0,5.818181818181818,4.2224598930481285
146,Ukraine,UKR,2019,21636.0,5.724489795918367,4.08854693877551
147,Ukraine,UKR,2020,31812.0,5.3125,4.1854000000000005
148,United Kingdom,GBR,2017,47500.0,6.9185185185185185,5.6530501089324625
149,United Kingdom,GBR,2018,55562.0,6.3847953216374265,5.607828620571035
150,United Kingdom,GBR,2019,58881.0,6.154145077720207,5.582785339835416
151,United Kingdom,GBR,2020,60752.0,6.144628099173554,5.63955378382758
